Class Id,Class Name,Fall,Winter,Spring,SS1,SS2
CSE 3,Fluency/Information Technology,,STAFF,STAFF,,
CSE 4GS,Mathematical Beauty in Rome,,,,,
CSE 5A,Introduction to Programming I,STAFF,,,,
CSE 6GS,Mathematical Beauty in Rome - Lab,,,,,
CSE 8A,Intro/Computer Science: Java (I),"Soosai Raj
Lerner",Politz,STAFF,,
CSE 8B,Intro/Computer Sci. Java (II),STAFF,Alvarado,STAFF,,
CSE 11,Intr/Computer Sci&Obj-Ori:Java,STAFF,STAFF,STAFF,,
CSE 12,Basic Data Struct & OO Design,STAFF,Gillespie,"Gillespie
Soosai Raj",,
CSE 15L,Software Tools and Techniques Lab,Gillespie,Gillespie,Gillespie,,
CSE 20,Intro/Discrete Mathematics,STAFF,STAFF,Minnes Kemp,,
CSE 21,Math/Algorithm&Systems Analys,STAFF,Kahng,Kahng,,
CSE 30,Computer Organiz&Systms Progrm,"Porter, L.","Porter, L.",STAFF,,
CSE 42,Bldg & Programming Elct Device,,,,,
CSE 95,Tutor Apprentice,STAFF,Gillespie,STAFF,,
CSE 100,Advanced Data Structures,"Moshiri
Sahoo",Moshiri,Moshiri,,
CSE 101,Design & Analysis of Algorithm,STAFF,Kane,"Dasgupta
Impagliazzo",,
CSE 103,Practical Intro/Prob & Stats,Dasgupta,,,,
CSE 105,Theory of Computation,Minnes Kemp,Minnes Kemp,STAFF,,
CSE 107,Intro/Modern Cryptography,Bellare,,Micciancio,,
CSE 110,Software Engineering,Gillespie,STAFF,Gillespie,,
CSE 112,Advanced Software Engineering,,,Powell,,
CSE 118,Ubiquitous Computing,Weibel,,,,
CSE 120,Princ/Computer Operating Systm,Voelker,Pasquale,Zhou,,
CSE 123,Computer Networks,Snoeren,,Shalev,,
CSE 124,Networked Services,,Porter,,,
CSE 125,Software Sys Design & Implemnt,,,Voelker,,
CSE 127,Intro to Computer Security,Deian,Heninger,Savage,,
CSE 130,Progrmng Lang:Princpl&Paradigm,Polikarpova,Jhala,Polikarpova,,
CSE 131,Compiler Construction,,,Jhala,,
CSE 132A,Database System Principles,Vianu,Vianu,,,
CSE 132B,Database System Applications,,,Deutsch,,
CSE 132C,Database System Implementation,,,Kumar,,
CSE 134B,Web Client Languages,STAFF,,,,
CSE 135,Online Database Analytics Applications,,STAFF,,,
CSE 136,Enterprise-class Web Applcatns,,,STAFF,,
CSE 140,Component&Desgn Tech/Digtl Sys,Orailoglu,Rosing,Cheng,,
CSE 140L,Digital Systems Laboratory,Orailoglu,STAFF,STAFF,,
CSE 141,Intro/Computer Architecture,"Zhao
Pannuto",Tullsen,,,
CSE 141L,Project/Computer Architecture,Esmaeilzadeh,STAFF,,,
CSE 142,,,,Porter,,
CSE 142L,,,,Swanson,,
CSE 143,Microelectronic System Design,,,Gupta,,
CSE 145,Embedded System Design Project,,,Kastner,,
CSE 148,Adv Processor Arch Design Proj,,,Tullsen,,
CSE 150A,AI: Probabilistic Models,,STAFF,STAFF,,
CSE 150B,AI: Search and Reasoning,Gao,,,,
CSE 151A,Intro to Machine Learning,Berg-Kirkpatrick,Chaudhuri,Shang,,
CSE 151B,Deep Learning,Cottrell,,,,
CSE 152A,Intro to Computer Vision I,Su,Kriegman,,,
CSE 152B,Intro to Computer Vision II,,,Chandraker,,
CSE 156,Statistical NLP,,,Nakashole,,
CSE 158,Recommender Sys&Web Mining,McAuley,,,,
CSE 160,Intro to Parallel Computing,,,,,
CSE 163,Advanced Computer Graphics,,,STAFF,,
CSE 165,3D User Interfaces,,STAFF,,,
CSE 166,Image Processing,STAFF,,,,
CSE 167,Computer Graphics,Schulze,STAFF,,,
CSE 168,Computer Graphics II: Rendering,,,Ramamoorthi,,
CSE 169,Computer Animation,,STAFF,,,
CSE 170,Interaction Design,,,,,
CSE 176A,Healthcare Robotics,,,Riek,,
CSE 176E,Robotic Sys Design & Implemnt,,Swanson,,,
CSE 180,Biology Meets Computing,,,,,
CSE 181,Molecular Sequence Analysis,,Pevzner,,,
CSE 182,Biological Databases,,,Bafna,,
CSE 185,Advanced Bioinformatics Lab,,,Gymrek,,
CSE 190,Topics/Computer Sci & Engineer,,,,,
CSE 191,Semnr/Computer Sci & Engineer,,,,,
CSE 193,Introduction to CS Research,Alvarado,,,,
CSE 197,Field Study/Computer Sci&Engin,Minnes Kemp,Minnes Kemp,Minnes Kemp,Minnes Kemp,Minnes Kemp